"","Raceway_ID","tissue","microsite","Depth","day_collected_est","Distance_from_application","date_coll_flat","Year_collected","Month_collected","Day_collected","d15N","d13C","pN","pC","Site","habitat","Plant_species","Date_installed","Date_mesh_added","Season","mesh_type","Date_15N_added_flat","N15_mg_added","total_N_mg_added","Type_of_label","Year_15N_added","Month_15N_added","Day_15N_added","Experiment","Distance_from_tracer_to_mesh","mass_g","avg_N","Total_N","Day","Nat_ab_15N","R","R0","F","F0","total15N","total15N0","excess","stomped","gwc_depth","VWC","GWC","Day_2","CN","excess_percm","excess_percmday"
"33","30","leaf","plant","plant",0,34,170528,2017,5,28,-1.7,-15.7,1.5,42.4,"SEV","BBG","BOER","12/13/16","3/25/17","Spring","coarse","170601",0.86,0.86,"nitrate",2017,6,1,"mesh",NA,5.95,1.3,77.35,-4,-1.7,0.003663761,0.003663761,0.00365038685500572,0.00365038685500572,0.282357423234692,0.282357423234692,0,"No","0_10",NA,0.0104127928597991,0,32.9777777777778,0,NA
"34","30","leaf","plant","plant",3,34,170604,2017,6,4,4,-15.6,1.1,40.5,"SEV","BBG","BOER","12/13/16","3/25/17","Spring","coarse","170601",0.86,0.86,"nitrate",2017,6,1,"mesh",NA,5.95,1.3,77.35,3,-1.7,0.00368468,0.003663761,0.0036711529760522,0.00365038685500572,0.283963682697638,0.282357423234692,0.00160625946294546,"No",NA,NA,NA,3,42.9545454545454,0.0472429253807488,0.0157476417935829
"35","35","root","plant","plant",10,24,170604,2017,6,4,-1.6,-14.3,0.4,37.4,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170601",0.86,0.86,"nitrate",2017,6,1,"Nform_Plant_species",NA,25.12,0.4,100.48,3,-0.9,0.003664128,0.003666697,0.00365075118037894,0.00365330145053124,0.366827478604476,0.367083729749379,-0.000256251144903186,"No",NA,NA,NA,3,109.083333333333,-0.0106771310376327,-0.00355904367921091
"36","35","leaf","plant","plant",0,24,170528,2017,5,28,-0.9,-15.7,1.4,41.9,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170601",0.86,0.86,"nitrate",2017,6,1,"Nform_Plant_species",NA,14.7,1.4,205.8,-4,-0.9,0.003666697,0.003666697,0.00365330145053124,0.00365330145053124,0.751849438519329,0.751849438519329,0,"No","0_10",NA,0.0103280680437423,0,34.9166666666667,0,NA
"37","35","leaf","plant","plant",3,24,170604,2017,6,4,-0.2,-15.6,1.4,43.2,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170601",0.86,0.86,"nitrate",2017,6,1,"Nform_Plant_species",NA,14.7,1.4,205.8,3,-0.9,0.003669266,0.003666697,0.00365585170762816,0.00365330145053124,0.752374281429875,0.751849438519329,0.000524842910545553,"No",NA,NA,NA,3,36,0.0218684546060647,0.00728948486868824
"38","37","root","plant","plant",10,37,170602,2017,6,2,-1,-14.7,0.4,35.8,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170523",0.86,0.86,"glutamate",2017,5,23,"Nform",NA,44.53,0.4,178.12,10,-1.6,0.00366633,0.003664128,0.00365293712702308,0.00365075118037894,0.650661161065351,0.650271800249097,0.000389360816254403,"No",NA,NA,NA,10,104.416666666667,0.010523265304173,0.0010523265304173
"39","37","leaf","plant","plant",0,37,170523,2017,5,23,-1.6,-15.9,1.3,41.8,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170523",0.86,0.86,"glutamate",2017,5,23,"Nform",NA,22.17,1.26666666666667,280.82,0,-1.6,0.003664128,0.003664128,0.00365075118037894,0.00365075118037894,1.02520394647401,1.02520394647401,0,"No","0_10",NA,0.0176452692424703,0,37.5128205128205,0,NA
"40","37","leaf","plant","plant",3,37,170526,2017,5,26,-1.2,-16.4,1.3,45.9,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170523",0.86,0.86,"glutamate",2017,5,23,"Nform",NA,22.17,1.26666666666667,280.82,3,-1.6,0.003665596,0.003664128,0.00365220847920745,0.00365075118037894,1.02561318513104,1.02520394647401,0.00040923865702247,"No",NA,NA,NA,3,41.1923076923077,0.0110605042438506,0.00368683474795018
"41","37","leaf","plant","plant",10,37,170602,2017,6,2,-1.4,-16.3,1.2,45.3,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170523",0.86,0.86,"glutamate",2017,5,23,"Nform",NA,22.17,1.26666666666667,280.82,10,-1.6,0.003664862,0.003664128,0.00365147983032607,0.00365075118037894,1.02540856595217,1.02520394647401,0.000204619478153534,"No",NA,NA,NA,10,44.0416666666667,0.00553025616631172,0.000553025616631172
"42","39","root","plant","plant",3,28,170604,2017,6,4,-2.5,-14.4,0.4,42.4,"SEV","BBG","BOER","12/13/16","3/25/17","Spring","coarse","170601",0.86,0.86,"nitrate",2017,6,1,"mesh",NA,33.84,0.4,135.36,3,-2,0.003660825,0.00366266,0.00364747224242811,0.00364929387728741,0.493721842735069,0.493968419229624,-0.000246576494554951,"No","0_10",NA,0.012825080156751,3,123.666666666667,-0.00880630337696253,-0.00293543445898751
