,Raceway_ID,tissue,microsite,Depth,day_collected_est,Distance_from_application,date_coll_flat,Year_collected,Month_collected,Day_collected,d15N,d13C,pN,pC,Site,habitat,Plant_species,Date_installed,Date_mesh_added,Season,mesh_type,Date_15N_added_flat,N15_mg_added,total_N_mg_added,Type_of_label,Year_15N_added,Month_15N_added,Day_15N_added,Experiment,Distance_from_tracer_to_mesh,mass_g,avg_N,Total_N,Day,Nat_ab_15N,R,R0,F,F0,total15N,total15N0,excess,stomped,gwc_depth,VWC,GWC,Day_2,CN,excess_percm,excess_percmday
43,39,leaf,plant,plant,0,28,170528,2017,5,28,-2,-15.6,1.3,41.8,SEV,BBG,BOER,12/13/16,3/25/17,Spring,coarse,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,20.73,1.45,300.585,-4,-2,0.00366266,0.00366266,0.003649294,0.003649294,1.096923,1.096923,0,No,0_10,NA,0.011865035,0,37.51282051,0,NA
44,39,leaf,plant,plant,3,28,170604,2017,6,4,-0.9,-15.6,1.6,43.7,SEV,BBG,BOER,12/13/16,3/25/17,Spring,coarse,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,20.73,1.45,300.585,3,-2,0.003666697,0.00366266,0.003653301,0.003649294,1.098127617,1.096923,0.001204616,No,0_10,NA,0.01282508,3,31.86458333,0.043022014,0.014340671
45,40,root,plant,plant,10,40,170602,2017,6,2,-0.8,-14.5,0.5,38.9,SEV,BBG,BOER,12/13/16,NA,Spring,none,170525,0.86,0.86,glutamate,2017,5,25,Nform,NA,2.33,0.5,11.65,8,-1.2,0.003667064,0.003665596,0.003653666,0.003652208,0.042565206,0.042548229,1.70E-05,No,NA,NA,NA,8,90.76666667,0.000424437,5.31E-05
46,40,leaf,plant,plant,0,40,170525,2017,5,25,-1.2,-15.8,1.6,42.6,SEV,BBG,BOER,12/13/16,NA,Spring,none,170525,0.86,0.86,glutamate,2017,5,25,Nform,NA,5.79,1.5,86.85,0,-1.2,0.003665596,0.003665596,0.003652208,0.003652208,0.317194306,0.317194306,0,No,0_10,NA,0.013622291,0,31.0625,0,NA
47,40,leaf,plant,plant,3,40,170528,2017,5,28,-0.7,-15.8,1.2,42.2,SEV,BBG,BOER,12/13/16,NA,Spring,none,170525,0.86,0.86,glutamate,2017,5,25,Nform,NA,5.79,1.5,86.85,3,-1.2,0.003667431,0.003665596,0.00365403,0.003652208,0.317352514,0.317194306,0.000158207,No,NA,NA,NA,3,41.02777778,0.003955187,0.001318396
48,40,leaf,plant,plant,10,40,170602,2017,6,2,-1.3,-16,1.7,45.6,SEV,BBG,BOER,12/13/16,NA,Spring,none,170525,0.86,0.86,glutamate,2017,5,25,Nform,NA,5.79,1.5,86.85,8,-1.2,0.003665229,0.003665596,0.003651844,0.003652208,0.317162665,0.317194306,-3.16E-05,No,NA,NA,NA,8,31.29411765,-0.000791039,-9.89E-05
49,41,root,plant,plant,3,38,170604,2017,6,4,-1.2,-14.2,0.4,39.1,SEV,BBG,BOER,12/13/16,3/25/17,Spring,coarse,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,0.8,0.4,3.2,3,-1.8,0.003665596,0.003663394,0.003652208,0.003650023,0.011687067,0.011680072,7.00E-06,No,NA,NA,NA,3,114.0416667,0.00018408,6.14E-05
50,41,leaf,plant,plant,0,38,170528,2017,5,28,-1.8,-16.1,1.7,41.9,SEV,BBG,BOER,12/13/16,3/25/17,Spring,coarse,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,8.11,1.65,133.815,-4,-1.8,0.003663394,0.003663394,0.003650023,0.003650023,0.488427765,0.488427765,0,No,0_10,NA,0.009458578,0,28.75490196,0,NA
51,41,leaf,plant,plant,3,38,170604,2017,6,4,-0.5,-15.6,1.6,43.4,SEV,BBG,BOER,12/13/16,3/25/17,Spring,coarse,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,8.11,1.65,133.815,3,-1.8,0.003668165,0.003663394,0.003654759,0.003650023,0.489061541,0.488427765,0.000633776,No,NA,NA,NA,3,31.64583333,0.016678323,0.005559441
52,45,root,plant,plant,3,31,170604,2017,6,4,-1.5,-14.5,0.6,42.6,SEV,BBG,BOER,12/13/16,3/25/17,Spring,coarse,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,2.79,0.6,16.74,3,-1.3,0.003664495,0.003665229,0.003651116,0.003651844,0.061119674,0.061131871,-1.22E-05,No,NA,NA,NA,3,82.83333333,-0.000393471,-0.000131157
